연번,인증번호,인증구분,인증등급,지역코드,시군구,지역(시설)명,인증대상,신청기관,면적,용도구분,인증일자,인증만료일,인증기관
522,378,예비,최우수,경기도,광주시,성남~여주 복선전철 광주역사,여객시설,한국철도시설공단,,운수시설,2014-11-17,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
523,379,예비,최우수,경기도,광주시,성남~여주 복선전철 쌍동역사,여객시설,한국철도시설공단,,운수시설,2014-11-17,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
524,380,예비,최우수,경기도,광주시, 성남~여주 복선전철 곤지암역사,여객시설,한국철도시설공단,,운수시설,2014-11-17,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
525,381,예비,최우수,경기도,이천시,성남~여주 복선전철 신둔역사,여객시설,한국철도시설공단,,운수시설,2014-11-17,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
526,382,예비,최우수,경기도,이천시,성남~여주 복선전철 이천역사,여객시설,한국철도시설공단,,운수시설,2014-11-17,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
527,383,예비,최우수,경기도,이천시,성남~여주 복선전철 부발역사,여객시설,한국철도시설공단,,운수시설,2014-11-17,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
528,384,예비,최우수,경기도,여주시,성남~여주 복선전철 능서역사,여객시설,한국철도시설공단,,운수시설,2014-11-17,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
529,385,예비,최우수,경기도,여주시,성남~여주 복선전철 여주역사,여객시설,한국철도시설공단,,운수시설,2014-11-17,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
530,386,예비,우수,전라남도,완도군,농어촌건강증진센터,건축물,강진군청,242,제1종 근린생활시설,2014-11-19,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
531,387,예비,우수,인천광역시,연수구,해돋이공원 도서관,건축물,연수청학도서관,1206.25,교육연구시설,2014-11-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
532,145,본,우수,인천광역시,,행정타운 및 JST,건축물,인천도시공사,24918.11,업무시설,2014-12-02,2019-12-01,한국장애인개발원
533,146,본,최우수,서울특별시,노원구,시립노원시각장애인복지관,건축물,서울시 도시기반시설본부,2754.19,노유자시설,2014-12-02,2019-12-01,한국장애인개발원
534,388,예비,우수,대구광역시,북구,대구사수초등학교,건축물,대구시 교육청,,교육연구시설,2014-12-03,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
535,389,예비,우수,대전광역시,유성구,대전 유성구청소년수련관,건축물,대전시 유성구청,,수련시설,2014-12-03,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
536,390,예비,우수,서울특별시,강남구,수도권고속철도 수서역사,여객시설,한국철도시설공단,,운수시설,2014-12-04,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
537,391,예비,우수,전라남도,나주시,석전초등학교,건축물,전남교육청,11205.9,교육연구시설,2014-12-05,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
538,392,예비,우수,전라남도,광양시,가칭'광양용강중학교,건축물,전남 교육청,10275.35,교육연구시설,2014-12-09,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
539,147,본,우수,세종특별자치시,,세종시 국책연구기관,건축물,대우건설,121692.4,업무시설,2014-12-10,2019-12-09,한국장애인개발원
540,393,예비,우수,광주광역시,동구,광주지식산업센터,건축물,광주광역시청,11650,공장,2014-12-11,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
541,394,예비,최우수,충청남도,공주시,국민연금 공주사옥,건축물,국민연금공단,1329.63,업무시설,2014-12-11,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
542,395,예비,우수,경기도,안양시,지에스피㈜,건축물,지에스피㈜(이신범),1252.97,제2종 근린생활시설,2014-12-12,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
543,396,예비,우수,광주광역시,광산구,㈜삼구팔구,건축물,㈜삼구팔구(김병덕),596.1,제2종 근린생활시설,2014-12-12,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
544,397,예비,최우수,서울특별시,노원구,서울과학관,건축물,서울특별시도시기반시설본부,12330.81,문화 및 집회시설,2014-12-12,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
545,398,예비,일반,대전광역시,유성구,대전 대덕특구2단계 문지지구 공동주택 신축공사,건축물,아시아신탁(주),163645,공동주택,2014-12-15,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
546,399,예비,최우수,부산광역시,기장군,부산 울산 복선전철 동부산관광단지역사,여객시설,한국철도시설공단,,운수시설,2014-12-17,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
547,400,예비,우수,전라남도,목포시,가칭' 백련초등학교,건축물,전남교육청,12497.36,교육연구시설,2014-12-26,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
548,148,본,우수,전라남도,목포시,용당2동 주민센터,건축물,목포시청,904.26,제1종 근린생활시설,2014-12-26,2019-12-25,한국장애인개발원
549,401,예비,일반,서울특별시,영등포구,신길11 재정비촉진구역 주택재개발아파트,건축물,신길11재정비촉진구역주택재개발아파트조합,,공동주택,2014-12-29,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
550,402,예비,우수,경기도,시흥시,배곧1고등학교 신축공사,건축물,경기도 시흥시청,12026.4,교육연구시설,2014-12-29,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
